ShotType,ShotCategory,Frequency,PlayerPosition,ShotDirection,ShotPace,ImpactFrontWall,BallLanding,DriveType,CrossType,BoastType,SkillType,ShotContact,Deception,Description,Keywords
volley forehand straight lob,Drive,Rare/Desperation,MidCourt,Straight,Soft,High,BackCourt,Lob,N/A,N/A,Forehand,Volley,Traditional,"A forehand straight shot (hit with soft pace and designed to use maximum height on the front wall) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels parallel to the side wall, typically landing deep in the back of the court near the back wall.","FH Volley Straight Lob, Forehand Volley Straight Lob"
volley backhand straight lob,Drive,Rare/Desperation,MidCourt,Straight,Soft,High,BackCourt,Lob,N/A,N/A,Backhand,Volley,Traditional,"A backhand straight shot (hit with soft pace and designed to use maximum height on the front wall) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels parallel to the side wall, typically landing deep in the back of the court near the back wall.","BH Volley Straight Drive, Backhand Volley Straight Drive"
volley forehand hard drive,Drive,Core/High_Frequency,MidCourt,Straight,Hard,Low/Mid,MidCourt/BackCourt,2ndBounceNick,N/A,N/A,Forehand,Volley,Traditional,"A forehand straight shot hit with significant pace, designed to travel parallel to the side wall, taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. Generally, the aim is for the second bounce of the shot to land precisely in the nick at the back of the court, while avoiding contact with the sidewall to maintain maximum pace","FH Volley Straight Hard Drive, Forehand Volley Straight Hard Drive"
volley backhand hard drive,Drive,Core/High_Frequency,MidCourt,Straight,Hard,Low/Mid,MidCourt/BackCourt,2ndBounceNick,N/A,N/A,Backhand,Volley,Traditional,"A backhand straight shot hit with significant pace, designed to travel parallel to the side wall, taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. Generally, the aim is for the second bounce of the shot to land precisely in the nick at the back of the court, while avoiding contact with the sidewall to maintain maximum pace","BH Volley Straight Hard Drive, Backhand Volley Straight Hard Drive"
forehand cross,Cross,Core/High_Frequency,FrontCourt,Cross,Medium,Low/Mid,BackCourt,N/A,Deep,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with soft, medium, or hard pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","FH Cross, FH Cross-court, Forehand Cross, Forehand Cross"
forehand cross,Cross,Essential/Constant,MidCourt,Cross,Medium,Middle,BackCourt,N/A,Deep,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with soft, medium, or hard pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","FH Cross, FH Cross-court, Forehand Cross, Forehand Cross"
forehand cross,Cross,Essential/Constant,BackCourt,Cross,Medium,Middle,BackCourt,N/A,Deep,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with soft, medium, or hard pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","FH Cross, FH Cross-court, Forehand Cross, Forehand Cross"
backhand cross,Cross,Core/High_Frequency,FrontCourt,Cross,Medium,Low/Mid,BackCourt,N/A,Deep,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with soft, medium, or hard pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","BH Cross, BH Cross-court, Backhand Cross, Backhand Cross"
backhand cross,Cross,Essential/Constant,MidCourt,Cross,Medium,Middle,BackCourt,N/A,Deep,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with soft, medium, or hard pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","BH Cross, BH Cross-court, Backhand Cross, Backhand Cross"
backhand cross,Cross,Essential/Constant,BackCourt,Cross,Medium,Middle,BackCourt,N/A,Deep,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with soft, medium, or hard pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","BH Cross, BH Cross-court, Backhand Cross, Backhand Cross"
forehand cross kill,Cross,Tactical/Lower_Frequency,FrontCourt,Cross,Medium/Hard,Low,MidCourt/BackCourt,N/A,Kill,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with hard pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall.","FH Cross Kill, Forehand Cross Kill, FH Cross-court Kill, Forehand Cross-court Kill"
forehand cross kill,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Medium/Hard,Low,MidCourt/BackCourt,N/A,Kill,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with hard pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall.","FH Cross Kill, Forehand Cross Kill, FH Cross-court Kill, Forehand Cross-court Kill"
forehand cross kill,Cross,Rare/Desperation,BackCourt,Cross,Medium/Hard,Low,MidCourt/BackCourt,N/A,Kill,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with hard pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall","FH Cross Kill, Forehand Cross Kill, FH Cross-court Kill, Forehand Cross-court Kill"
backhand cross kill,Cross,Tactical/Lower_Frequency,Front,Cross,Medium/Hard,Low,MidCourt/BackCourt,N/A,Kill,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with hard pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall.","BH Cross Kill, Backhand Cross Kill, BH Cross-court Kill, Backhand Cross-court Kill"
backhand cross kill,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Medium/Hard,Low,MidCourt/BackCourt,N/A,Kill,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with hard pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall.","BH Cross Kill, Backhand Cross Kill, BH Cross-court Kill, Backhand Cross-court Kill"
backhand cross kill,Cross,Rare/Desperation,BackCourt,Cross,Medium/Hard,Low,MidCourt/BackCourt,N/A,Kill,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with hard pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall","BH Cross Kill, Backhand Cross Kill, BH Cross-court Kill, Backhand Cross-court Kill"
forehand cross lob,Cross,Core/High_Frequency,FrontCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with soft pace and designed to use maximum height on the front wall) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall. The cross lob is often used to gain time and recover to the 'T'; however, it can also serve as an attacking shot because most players struggle to play shots above their head.","FH Cross Lob, Forehand Cross Lob, FH Cross-court Lob, Forehand Cross-court Lob"
forehand cross lob,Cross,Core/High_Frequency,MidCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with soft pace and designed to use maximum height on the front wall) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall. The cross lob is often used to gain time and recover to the 'T'; however, it can also serve as an attacking shot because most players struggle to play shots above their head.","FH Cross Lob, Forehand Cross Lob, FH Cross-court Lob, Forehand Cross-court Lob"
forehand cross lob,Cross,Situational/Moderate_Frequency,BackCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with soft pace and designed to use maximum height on the front wall) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall. The cross lob is often used to gain time and recover to the 'T'; however, it can also serve as an attacking shot because most players struggle to play shots above their head.","FH Cross Lob, Forehand Cross Lob, FH Cross-court Lob, Forehand Cross-court Lob"
backhand cross lob,Cross,Core/High_Frequency,BackCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with soft pace and designed to use maximum height on the front wall) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall. The cross lob is often used to gain time and recover to the 'T'; however, it can also serve as an attacking shot because most players struggle to play shots above their head.","BH Cross Lob, Backhand Cross Lob, BH Cross-court Lob, Backhand Cross-court Lob"
backhand cross lob,Cross,Core/High_Frequency,MidCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with soft pace and designed to use maximum height on the front wall) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall. The cross lob is often used to gain time and recover to the 'T'; however, it can also serve as an attacking shot because most players struggle to play shots above their head.","BH Cross Lob, Backhand Cross Lob, BH Cross-court Lob, Backhand Cross-court Lob"
backhand cross lob,Cross,Situational/Moderate_Frequency,BackCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with soft pace and designed to use maximum height on the front wall) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall. The cross lob is often used to gain time and recover to the 'T'; however, it can also serve as an attacking shot because most players struggle to play shots above their head.","BH Cross Lob, Backhand Cross Lob, BH Cross-court Lob, Backhand Cross-court Lob"
forehand hard cross,Cross,Core/High_Frequency,FrontCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot hit with significant pace, designed to travel diagonally across the court (i.e. to the other side of the court), played by a player positioned near the front wall. The aims is to make sure that the ball dies in the back and does not come off","FH Hard Cross, Forehand Hard Cross, FH Hard Cross-court, Forehand Hard Cross-court"
forehand hard cross,Cross,Situational/Moderate_Frequency,MidCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot hit with significant pace, designed to travel diagonally across the court (i.e. to the other side of the court), played by a player positioned around the 'T' area or slightly forward/behind it. The aims is to make sure that the ball dies in the back and does not come off.","FH Hard Cross, Forehand Hard Cross, FH Hard Cross-court, Forehand Hard Cross-court"
forehand hard cross,Cross,Situational/Moderate_Frequency,BackCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot hit with significant pace, designed to travel diagonally across the court (i.e. to the other side of the court), played by a player positioned deep in the back half of the court. The aims is to make sure that the ball dies in the back and does not come off.","FH Hard Cross, Forehand Hard Cross, FH Hard Cross-court, Forehand Hard Cross-court"
backhand hard cross,Cross,Core/High_Frequency,FrontCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot hit with significant pace, designed to travel diagonally across the court (i.e. to the other side of the court), played by a player positioned near the front wall. The aims is to make sure that the ball dies in the back and does not come off","BH Hard Cross, Backhand Hard Cross, BH Hard Cross-court, Backhand Hard Cross-court"
backhand hard cross,Cross,Situational/Moderate_Frequency,MidCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot hit with significant pace, designed to travel diagonally across the court (i.e. to the other side of the court), played by a player positioned around the 'T' area or slightly forward/behind it. The aims is to make sure that the ball dies in the back and does not come off.","BH Hard Cross, Backhand Hard Cross, BH Hard Cross-court, Backhand Hard Cross-court"
backhand hard cross,Cross,Situational/Moderate_Frequency,BackCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot hit with significant pace, designed to travel diagonally across the court (i.e. to the other side of the court), played by a player positioned around the 'T' area or slightly forward/behind it. The aims is to make sure that the ball dies in the back and does not come off.","BH Hard Cross, Backhand Hard Cross, BH Hard Cross-court, Backhand Hard Cross-court"
forehand cross wide,Cross,Tactical/Lower_Frequency,FrontCourt,Cross,Medium/Hard,Middle,MidCourt/BackCourt,N/A,Wide,N/A,Forehand,OffBounce,Traditional,"A forehand wide cross shot (hit with considerable pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), and tends to contact the side wall relatively early in its trajectory (around the service box or even in front of it). This shot is generally used to prevent the opponent, who is hunting for volleys, from taking the ball early","FH Wide Cross, Forehand Wide Cross, FH Wide Cross-court, Forehand Wide Cross-court"
forehand cross wide,Cross,Rare/Desperation,MidCourt,Cross,Medium/Hard,Middle,MidCourt/BackCourt,N/A,Wide,N/A,Forehand,OffBounce,Traditional,"A forehand wide cross shot (hit with considerable pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), and tends to contact the side wall relatively early in its trajectory (around the service box or even in front of it). This shot is generally used to prevent the opponent, who is hunting for volleys, from taking the ball early.","FH Wide Cross, Forehand Wide Cross, FH Wide Cross-court, Forehand Wide Cross-court"
forehand cross wide,Cross,Tactical/Lower_Frequency,BackCourt,Cross,Medium/Hard,Middle,MidCourt/BackCourt,N/A,Wide,N/A,Forehand,OffBounce,Traditional,"A forehand wide cross shot (hit with considerable pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), and tends to contact the side wall relatively early in its trajectory (around the service box or even in front of it). This shot is generally used to prevent the opponent, who is hunting for volleys, from taking the ball early.","FH Wide Cross, Forehand Wide Cross, FH Wide Cross-court, Forehand Wide Cross-court"
backhand cross wide,Cross,Tactical/Lower_Frequency,FrontCourt,Cross,Medium/Hard,Middle,MidCourt/BackCourt,N/A,Wide,N/A,Backhand,OffBounce,Traditional,"A backhand wide cross shot (hit with considerable pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), and tends to contact the side wall relatively early in its trajectory (around the service box or even in front of it). This shot is generally used to prevent the opponent, who is hunting for volleys, from taking the ball early","BH Wide Cross, Backhand Wide Cross, BH Wide Cross-court, Backhand Wide Cross-court"
backhand cross wide,Cross,Rare/Desperation,MidCourt,Cross,Medium/Hard,Middle,MidCourt/BackCourt,N/A,Wide,N/A,Backhand,OffBounce,Traditional,"A backhand wide cross shot (hit with considerable pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), and tends to contact the side wall relatively early in its trajectory (around the service box or even in front of it). This shot is generally used to prevent the opponent, who is hunting for volleys, from taking the ball early.","BH Wide Cross, Backhand Wide Cross, BH Wide Cross-court, Backhand Wide Cross-court"
backhand cross wide,Cross,Tactical/Lower_Frequency,BackCourt,Cross,Medium/Hard,Middle,MidCourt/BackCourt,N/A,Wide,N/A,Backhand,OffBounce,Traditional,"A backhand wide cross shot (hit with considerable pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), and tends to contact the side wall relatively early in its trajectory (around the service box or even in front of it). This shot is generally used to prevent the opponent, who is hunting for volleys, from taking the ball early.","BH Wide Cross, Backhand Wide Cross, BH Wide Cross-court, Backhand Wide Cross-court"
forehand cross down the middle,Cross,Rare/Desperation,FrontCourt,Cross,Hard,Low/Mid,MidCourt/BackCourt,N/A,Down_the_middle,N/A,Forehand,OffBounce,Traditional,"A forehand cross down the middle shot (hit with considerable pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by a central placement across the court's width. In terms of depth, the ball typically lands in the mid-court area, but could also land near the back wall. The strategic objective is to direct the ball either directly at the opponent's body or into the space immediately behind them.","FH Cross Down the middle, Forehand Cross Down the middle, FH Cross-court Down the middle, Forehand Cross-court Down the middle"
forehand cross down the middle,Cross,Rare/Desperation,MidCourt,Cross,Hard,Low/Mid,MidCourt/BackCourt,N/A,Down_the_middle,N/A,Forehand,OffBounce,Traditional,"A forehand cross down the middle shot (hit with considerable pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by a central placement across the court's width. In terms of depth, the ball typically lands in the mid-court area, but could also land near the back wall. The strategic objective is to direct the ball either directly at the opponent's body or into the space immediately behind them.","FH Cross Down the middle, Forehand Cross Down the middle, FH Cross-court Down the middle, Forehand Cross-court Down the middle"
forehand cross down the middle,Cross,Rare/Desperation,MidCourt,Cross,Hard,Low/Mid,MidCourt/BackCourt,N/A,Down_the_middle,N/A,Forehand,OffBounce,Traditional,"A forehand cross down the middle shot (hit with considerable pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by a central placement across the court's width. In terms of depth, the ball typically lands in the mid-court area, but could also land near the back wall. The strategic objective is to direct the ball either directly at the opponent's body or into the space immediately behind them.","FH Cross Down the middle, Forehand Cross Down the middle, FH Cross-court Down the middle, Forehand Cross-court Down the middle"
backhand cross down the middle,Cross,Rare/Desperation,FrontCourt,Cross,Hard,Low/Mid,MidCourt/BackCourt,N/A,Down_the_middle,N/A,Backhand,OffBounce,Traditional,"A backhand cross down the middle shot (hit with considerable pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by a central placement across the court's width. In terms of depth, the ball typically lands in the mid-court area, but could also land near the back wall. The strategic objective is to direct the ball either directly at the opponent's body or into the space immediately behind them.","BH Cross Down the middle, Backhand Cross Down the middle, BH Cross-court Down the middle, Backhand Cross-court Down the middle"
backhand cross down the middle,Cross,Rare/Desperation,MidCourt,Cross,Hard,Low/Mid,MidCourt/BackCourt,N/A,Down_the_middle,N/A,Backhand,OffBounce,Traditional,"A backhand cross down the middle shot (hit with considerable pace) played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by a central placement across the court's width. In terms of depth, the ball typically lands in the mid-court area, but could also land near the back wall. The strategic objective is to direct the ball either directly at the opponent's body or into the space immediately behind them.","BH Cross Down the middle, Backhand Cross Down the middle, BH Cross-court Down the middle, Backhand Cross-court Down the middle"
backhand cross down the middle,Cross,Rare/Desperation,BackCourt,Cross,Hard,Low/Mid,MidCourt/BackCourt,N/A,Down_the_middle,N/A,Backhand,OffBounce,Traditional,"A backhand cross down the middle shot (hit with considerable pace) played by a player positioned deep in the back half of the court. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by a central placement across the court's width. In terms of depth, the ball typically lands in the mid-court area, but could also land near the back wall. The strategic objective is to direct the ball either directly at the opponent's body or into the space immediately behind them.","BH Cross Down the middle, Backhand Cross Down the middle, BH Cross-court Down the middle, Backhand Cross-court Down the middle"
forehand cross-court nick,Cross,Rare/Desperation,MidCourt,Cross,Medium/Hard,Low,FrontCourt,N/A,Nick,N/A,Forehand,OffBounce,Traditional,"A forehand cross shot (hit with generally medium or hard pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court). It is characterised by its low trajectory (just above the tin), and its first bounce landing precisely in the nick of the opposite side wall. It tends to land in the front of the court. A 'real' crosscourt nick is an unretrievable shot.","FH Cross-court nick off the bounce, Forehand Cross-court nick off the bounce, FH Cross nick off the bounce, Forehand Cross nick off the bounce"
backhand cross-court nick,Cross,Rare/Desperation,MidCourt,Cross,Medium/Hard,Low,FrontCourt,N/A,Nick,N/A,Backhand,OffBounce,Traditional,"A backhand cross shot (hit with generally medium or hard pace) played by a player positioned near the front wall. This shot travels diagonally across the court (i.e. to the other side of the court). It is characterised by its low trajectory (just above the tin), and its first bounce landing precisely in the nick of the opposite side wall. It tends to land in the front of the court. A 'real' crosscourt nick is an unretrievable shot.","BH Cross-court nick off the bounce, Backhand Cross-court nick off the bounce, BH Cross nick off the bounce, Backhand Cross nick off the bounce"
volley forehand cross,Cross,Essential/Constant,MidCourt,Cross,Medium,Middle,BackCourt,N/A,Deep,N/A,Forehand,Volley,Traditional,"A forehand cross shot (hit with soft, medium, or hard pace) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","FH Volley Cross, Forehand Volley Cross, FH Volley Cross-court, Forehand Volley Cross-court"
volley backhand cross,Cross,Essential/Constant,MidCourt,Cross,Medium,Middle,BackCourt,N/A,Deep,N/A,Backhand,Volley,Traditional,"A backhand cross shot (hit with soft, medium, or hard pace) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its deep penetration, typically bounces on floor and then touches the side wall (behind the service box) or directly lands on the side wall behind the service box.","BH Volley Cross, Backhand Volley Cross, BH Volley Cross-court, Backhand Volley Cross-court"
volley forehand cross kill,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Medium/Hard,Low,MidCourt,N/A,Kill,N/A,Forehand,Volley,Traditional,"A forehand cross shot (hit with hard pace) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall.","FH Volley Cross Kill, Forehand Volley Cross Kill, FH Volley Cross-court Kill, Forehand Volley Cross-court Kill"
volley backhand cross kill,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Medium/Hard,Low,MidCourt,N/A,Kill,N/A,Backhand,Volley,Traditional,"A backhand cross shot (hit with hard pace) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), characterised by its low trajectory (just above the tin), and tends to land around the middle area of the court. A good crosscourt kill tends to bounce twice before it touches the side wall or to have the second bounce onto the nick of the side wall.","BH Volley Cross Kill, Backhand Volley Cross Kill, BH Volley Cross-court Kill, Backhand Volley Cross-court Kill"
volley forehand cross lob,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Forehand,Volley,Traditional,"A forehand cross shot (hit with soft pace and designed to use maximum height on the front wall) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall.","FH Volley Cross Lob, Forehand Volley Cross Lob, FH Volley Cross-court Lob, Forehand Volley Cross-court Lob"
volley backhand cross lob,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Soft,High,BackCourt,N/A,Lob,N/A,Backhand,Volley,Traditional,"A backhand cross shot (hit with soft pace and designed to use maximum height on the front wall) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court), typically landing deep in the back of the court near the back wall.","BH Volley Cross Lob, Backhand Volley Cross Lob, BH Volley Cross-court Lob, Backhand Volley Cross-court Lob"
volley forehand hard cross,Cross,Situational/Moderate_Frequency,MidCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Forehand,Volley,Traditional,"A forehand cross shot hit with significant pace, taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court). The aims is to make sure that the ball dies in the back and does not come off.","FH Volley Hard Cross, Forehand Volley Hard Cross, FH Volley Hard Cross-court, Forehand Volley Hard Cross-court"
volley backhand hard cross,Cross,Situational/Moderate_Frequency,MidCourt,Cross,Hard,Low/Mid,BackCourt,N/A,Hard,N/A,Backhand,Volley,Traditional,"A backhand cross shot hit with significant pace, taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court). The aims is to make sure that the ball dies in the back and does not come off.","BH Volley Hard Cross, Backhand Volley Hard Cross, BH Volley Hard Cross-court, Backhand Volley Hard Cross-court"
volley forehand cross-court nick,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Medium/Hard,Low,FrontCourt,N/A,Nick,N/A,Forehand,Volley,Traditional,"A forehand cross shot (hit with generally medium or hard pace) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court). It is characterised by its low trajectory (just above the tin), and its first bounce landing precisely in the nick of the opposite side wall. It tends to land in the front of the court. A 'real' crosscourt nick is an unretrievable shot.","FH Volley Cross-court nick, Forehand Volley Cross-court nick, FH Volley Cross nick, Forehand Volley Cross nick"
volley backhand cross-court nick,Cross,Tactical/Lower_Frequency,MidCourt,Cross,Medium/Hard,Low,FrontCourt,N/A,Nick,N/A,Backhand,Volley,Traditional,"A backhand cross shot (hit with generally medium or hard pace) taken before the ball bounces off the floor, played by a player positioned around the 'T' area or slightly forward/behind it. This shot travels diagonally across the court (i.e. to the other side of the court). It is characterised by its low trajectory (just above the tin), and its first bounce landing precisely in the nick of the opposite side wall. It tends to land in the front of the court. A 'real' crosscourt nick is an unretrievable shot.","BH Volley Cross-court nick, Backhand Volley Cross-court nick, BH Volley Cross nick, Backhand Volley Cross nick"
forehand 3-wall boast,Boast,Tactical/Lower_Frequency,MidCourt,Side-wall,Soft/Medium,Low,FrontCourt,N/A,N/A,3-wall,Forehand,OffBounce,Traditional,"A forehand shot played by a player positioned around the 'T' area or slightly forward/behind it that uses three distinct walls in a specific sequence: initially striking a side wall, subsequently the front wall, and finally the opposing side wall, prior to landing on the floor.","FH 3-wall boast, FH Boast in the nick, Forehand Boast in the nick, FH Three-wall boast, Forehand Three-wall boast"
forehand 3-wall boast,Boast,Situational/Moderate_Frequency,BackCourt,Side-wall,Soft/Medium,Low,FrontCourt,N/A,N/A,2-wall,Forehand,OffBounce,Traditional,"A forehand shot played by a player positioned deep in the back half of the court that uses three distinct walls in a specific sequence: initially striking a side wall, subsequently the front wall, and finally the opposing side wall, prior to landing on the floor.","FH 3-wall boast, FH Boast in the nick, Forehand Boast in the nick, FH Three-wall boast, Forehand Three-wall boast"
